Entry	Base_Accession	Protein_Family	Gene_Name
A0A8V8TMP7	A0A8V8TMP7	CYRI family	CYRIB
A0A8V8TMQ6	A0A8V8TMQ6	Not available	STAT5B
A0A8V8TMQ7	A0A8V8TMQ7	Not available	IRF9
A0A8V8TMQ9	A0A8V8TMQ9	Not available	HPS1
A0A8V8TMR3	A0A8V8TMR3	Not available	SKIC2
A0A8V8TMR5	A0A8V8TMR5	Not available	PTPRC
A0A8V8TMR6	A0A8V8TMR6	SDO1/SBDS family	SBDS
A0A8V8TMR7	A0A8V8TMR7	Not available	HPS1
A0A8V8TMR8	A0A8V8TMR8	Not available	CYBC1
A0A8V8TMR9	A0A8V8TMR9	Not available	HPS1
A0A8V8TMS1	A0A8V8TMS1	SDO1/SBDS family	SBDS
A0A8V8TMS4	A0A8V8TMS4	Not available	HPS1
A0A8V8TMS5	A0A8V8TMS5	Not available	POLR3F
A0A8V8TMS6	A0A8V8TMS6	Not available	SMARCAL1
A0A8V8TMS8	A0A8V8TMS8	Not available	FERMT3
A0A8V8TMT3	A0A8V8TMT3	Not available	HPS1
A0A8V8TMT4	A0A8V8TMT4	Not available	FERMT3
A0A8V8TMT6	A0A8V8TMT6	PSMG2 family	PSMG2
A0A8V8TMT7	A0A8V8TMT7	Not available	FERMT3
A0A8V8TMU0	A0A8V8TMU0	PSMG2 family	PSMG2
A0A8V8TMU1	A0A8V8TMU1	Not available	FERMT3
A0A8V8TMU4	A0A8V8TMU4	Not available	IRF9
A0A8V8TMU6	A0A8V8TMU6	PSMG2 family	PSMG2
A0A8V8TMU9	A0A8V8TMU9	Not available	REL
A0A8V8TMV0	A0A8V8TMV0	Not available	TTC7A
A0A8V8TMV1	A0A8V8TMV1	PSMG2 family	PSMG2
A0A8V8TMV3	A0A8V8TMV3	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	MYLK4
A0A8V8TMV6	A0A8V8TMV6	Not available	IRF9
A0A8V8TMV7	A0A8V8TMV7	FCHO family	FCHO1
A0A8V8TMV8	A0A8V8TMV8	Recoverin family	KCNIP3
A0A8V8TMV9	A0A8V8TMV9	Not available	ANKS1A
A0A8V8TMW2	A0A8V8TMW2	Not available	REL
A0A8V8TMW6	A0A8V8TMW6	Not available	Not available
A0A8V8TMW7	A0A8V8TMW7	Sorting nexin family	SNX10
A0A8V8TMW9	A0A8V8TMW9	Not available	HPS4
A0A8V8TMX0	A0A8V8TMX0	Not available	STIM1
A0A8V8TMX2	A0A8V8TMX2	LRRFIP family	LRRFIP1
A0A8V8TMX7	A0A8V8TMX7	Not available	SP110
A0A8V8TMX9	A0A8V8TMX9	FCHO family	FCHO1
A0A8V8TMY0	A0A8V8TMY0	Not available	DEF6
A0A8V8TMY2	A0A8V8TMY2	Sulfatase family	SULF2
A0A8V8TMY3	A0A8V8TMY3	Not available	HPS4
A0A8V8TMY7	A0A8V8TMY7	Not available	RASGRP1
A0A8V8TMY9	A0A8V8TMY9	Not available	STAT1
A0A8V8TMZ0	A0A8V8TMZ0	Not available	HPS4
A0A8V8TMZ3	A0A8V8TMZ3	SecY/SEC61-alpha family	SEC61A1
A0A8V8TMZ4	A0A8V8TMZ4	XRCC4-XLF family, XLF subfamily	NHEJ1
A0A8V8TMZ5	A0A8V8TMZ5	SecY/SEC61-alpha family	SEC61A1
A0A8V8TMZ6	A0A8V8TMZ6	DNA polymerase delta/II small subunit family	POLD2
A0A8V8TMZ8	A0A8V8TMZ8	Not available	RPSA
A0A8V8TN00	A0A8V8TN00	Not available	FCGR2A
A0A8V8TN01	A0A8V8TN01	Not available	HPS4
A0A8V8TN02	A0A8V8TN02	DNA polymerase delta/II small subunit family	POLD2
A0A8V8TN06	A0A8V8TN06	Not available	HPS4
A0A8V8TN07	A0A8V8TN07	DNA polymerase delta/II small subunit family	POLD2
A0A8V8TN08	A0A8V8TN08	Not available	STK4
A0A8V8TN11	A0A8V8TN11	Not available	JAK1
A0A8V8TN13	A0A8V8TN13	Not available	IRF9
A0A8V8TN15	A0A8V8TN15	SDO1/SBDS family	SBDS
A0A8V8TN19	A0A8V8TN19	SecY/SEC61-alpha family	SEC61A1
A0A8V8TN25	A0A8V8TN25	SecY/SEC61-alpha family	SEC61A1
A0A8V8TN26	A0A8V8TN26	Not available	C5
A0A8V8TN29	A0A8V8TN29	LAP (LRR and PDZ) protein family	ERBIN
A0A8V8TN30	A0A8V8TN30	Not available	FCGR2A
A0A8V8TN31	A0A8V8TN31	Not available	NFE2L2
A0A8V8TN36	A0A8V8TN36	Not available	AGAP1
A0A8V8TN38	A0A8V8TN38	Not available	SGPL1
A0A8V8TN39	A0A8V8TN39	Not available	TRIM22
A0A8V8TN40	A0A8V8TN40	Not available	NFE2L2
A0A8V8TN41	A0A8V8TN41	Not available	NFE2L2
A0A8V8TN43	A0A8V8TN43	Not available	TLR3
A0A8V8TN45	A0A8V8TN45	Not available	SMARCD2
A0A8V8TN51	A0A8V8TN51	Not available	NFE2L2
A0A8V8TN53	A0A8V8TN53	PET100 family	PET100
A0A8V8TN54	A0A8V8TN54	DOCK family	DOCK10
A0A8V8TN55	A0A8V8TN55	Not available	TYK2
A0A8V8TN56	A0A8V8TN56	Not available	JAK1
A0A8V8TN57	A0A8V8TN57	Not available	TRNT1
A0A8V8TN58	A0A8V8TN58	Not available	PVRIG
A0A8V8TN62	A0A8V8TN62	Sorting nexin family	SNX10
A0A8V8TN63	A0A8V8TN63	Not available	ADAM17
A0A8V8TN67	A0A8V8TN67	Not available	SP110
A0A8V8TN70	A0A8V8TN70	Not available	PEPD
A0A8V8TN71	A0A8V8TN71	Not available	PYROXD2
A0A8V8TN72	A0A8V8TN72	Not available	MROH8
A0A8V8TN73	A0A8V8TN73	Not available	FERMT1
A0A8V8TN74	A0A8V8TN74	Adaptor complexes small subunit family	AP1S3
A0A8V8TN78	A0A8V8TN78	Not available	USB1
A0A8V8TN79	A0A8V8TN79	Not available	HPS1
A0A8V8TN80	A0A8V8TN80	Not available	Not available
A0A8V8TN82	A0A8V8TN82	Not available	SKIC3
A0A8V8TN86	A0A8V8TN86	Not available	HPS1
A0A8V8TN89	A0A8V8TN89	Not available	TYK2
A0A8V8TN90	A0A8V8TN90	Not available	HPS1
A0A8V8TN92	A0A8V8TN92	Not available	SKIC3
A0A8V8TN94	A0A8V8TN94	Not available	HPS1
A0A8V8TN95	A0A8V8TN95	Not available	TYK2
A0A8V8TN99	A0A8V8TN99	Not available	HPS1
A0A8V8TNA0	A0A8V8TNA0	Not available	STK4
A0A8V8TNA2	A0A8V8TNA2	Not available	SKIC3
A0A8V8TNA3	A0A8V8TNA3	Not available	CFHR5
A0A8V8TNA4	A0A8V8TNA4	Type I cytokine receptor family, Type 2 subfamily	CSF3R
A0A8V8TNA6	A0A8V8TNA6	Not available	ZBTB24
A0A8V8TNA8	A0A8V8TNA8	Not available	DAB2IP
A0A8V8TNB3	A0A8V8TNB3	Not available	FCGR3A
A0A8V8TNB4	A0A8V8TNB4	Not available	IRF9
A0A8V8TNB7	A0A8V8TNB7	Not available	FAM177A1
A0A8V8TNB8	A0A8V8TNB8	Not available	FCGR3A
A0A8V8TNB9	A0A8V8TNB9	Not available	Not available
A0A8V8TNC1	A0A8V8TNC1	Not available	SORBS2
A0A8V8TNC2	A0A8V8TNC2	Not available	SPATA1
A0A8V8TNC3	A0A8V8TNC3	FCHO family	FCHO1
A0A8V8TNC4	A0A8V8TNC4	Not available	Not available
A0A8V8TNC6	A0A8V8TNC6	Not available	TRIO
A0A8V8TND1	A0A8V8TND1	Not available	FCHO1
A0A8V8TND2	A0A8V8TND2	Not available	TMC6
A0A8V8TND5	A0A8V8TND5	Not available	Not available
A0A8V8TND8	A0A8V8TND8	Not available	BCL2L12
A0A8V8TND9	A0A8V8TND9	Not available	NFE2L2
A0A8V8TNE3	A0A8V8TNE3	Not available	BCL2L12
A0A8V8TNE4	A0A8V8TNE4	Not available	HPS4
A0A8V8TNE8	A0A8V8TNE8	Unc-13 family	UNC13D
A0A8V8TNF1	A0A8V8TNF1	Not available	OSTM1
A0A8V8TNF3	A0A8V8TNF3	Not available	HPS4
A0A8V8TNF4	A0A8V8TNF4	Not available	CFHR5
A0A8V8TNF5	A0A8V8TNF5	STXBP/unc-18/SEC1 family	VPS45
A0A8V8TNF6	A0A8V8TNF6	STXBP/unc-18/SEC1 family	STXBP2
A0A8V8TNF7	A0A8V8TNF7	Not available	OSTM1
A0A8V8TNF9	A0A8V8TNF9	Not available	ITPKC
A0A8V8TNG1	A0A8V8TNG1	Not available	LINGO2
A0A8V8TNG2	A0A8V8TNG2	NLRP family	NLRP1
A0A8V8TNG5	A0A8V8TNG5	Unc-13 family	UNC13D
A0A8V8TNG7	A0A8V8TNG7	Not available	CFTR
A0A8V8TNG8	A0A8V8TNG8	SecY/SEC61-alpha family	SEC61A1
A0A8V8TNH5	A0A8V8TNH5	Not available	PEPD
A0A8V8TNH6	A0A8V8TNH6	Not available	DZANK1
A0A8V8TNH7	A0A8V8TNH7	NLRP family	NLRP1
A0A8V8TNI6	A0A8V8TNI6	Not available	NFE2L2
A0A8V8TNI8	A0A8V8TNI8	Not available	IL6ST
A0A8V8TNJ6	A0A8V8TNJ6	Not available	NFE2L2
A0A8V8TNJ9	A0A8V8TNJ9	Not available	SKIC3
A0A8V8TNK2	A0A8V8TNK2	Not available	ADAM17
A0A8V8TNK4	A0A8V8TNK4	Not available	SKIC3
A0A8V8TNK5	A0A8V8TNK5	Not available	OSTM1
A0A8V8TNK6	A0A8V8TNK6	Not available	NLRP1
A0A8V8TNK8	A0A8V8TNK8	Not available	ZNF133
A0A8V8TNK9	A0A8V8TNK9	Not available	SKIC3
A0A8V8TNL5	A0A8V8TNL5	Not available	EBAG9
A0A8V8TNL7	A0A8V8TNL7	Not available	ZBTB24
A0A8V8TNL8	A0A8V8TNL8	Not available	SH3KBP1
A0A8V8TNM1	A0A8V8TNM1	Not available	PGM3
A0A8V8TNM2	A0A8V8TNM2	Not available	WRAP53
A0A8V8TNM3	A0A8V8TNM3	Not available	TINF2
A0A8V8TNM4	A0A8V8TNM4	Not available	DZANK1
A0A8V8TNM5	A0A8V8TNM5	Not available	NFE2L2
A0A8V8TNM7	A0A8V8TNM7	Not available	ZNF474
A0A8V8TNM8	A0A8V8TNM8	Not available	TINF2
A0A8V8TNM9	A0A8V8TNM9	Not available	TYK2
A0A8V8TNN1	A0A8V8TNN1	Not available	SORBS2
A0A8V8TNN3	A0A8V8TNN3	NLRP family	NLRP1
A0A8V8TNN4	A0A8V8TNN4	Not available	CAMK2D
A0A8V8TNN7	A0A8V8TNN7	Not available	CFTR
A0A8V8TNP1	A0A8V8TNP1	Not available	PIK3CD
A0A8V8TNP2	A0A8V8TNP2	Not available	SH3KBP1
A0A8V8TNP3	A0A8V8TNP3	NLRP family	NLRP1
A0A8V8TNP4	A0A8V8TNP4	Not available	TPRX2
A0A8V8TNP5	A0A8V8TNP5	Not available	BCL2L12
A0A8V8TNP7	A0A8V8TNP7	Not available	SH3KBP1
A0A8V8TNP8	A0A8V8TNP8	Adaptor complexes small subunit family	AP1S3
A0A8V8TNP9	A0A8V8TNP9	Not available	NLRP1
A0A8V8TNQ2	A0A8V8TNQ2	Not available	FUBP3
A0A8V8TNQ7	A0A8V8TNQ7	DNA mismatch repair MutL/HexB family	PMS2
A0A8V8TNQ8	A0A8V8TNQ8	Not available	NFE2L2
A0A8V8TNR1	A0A8V8TNR1	NLRP family	NLRP1
A0A8V8TNR3	A0A8V8TNR3	DNA mismatch repair MutL/HexB family	PMS2
A0A8V8TNR4	A0A8V8TNR4	Not available	CYBC1
A0A8V8TNR6	A0A8V8TNR6	Protein kinase superfamily	CAMK2D
A0A8V8TNR8	A0A8V8TNR8	Not available	NLRP1
A0A8V8TNR9	A0A8V8TNR9	Not available	TSBP1
A0A8V8TNS0	A0A8V8TNS0	Muscleblind family	MBNL3
A0A8V8TNS1	A0A8V8TNS1	Not available	NFE2L2
A0A8V8TNS2	A0A8V8TNS2	Not available	NLRP1
A0A8V8TNS5	A0A8V8TNS5	Not available	CFHR1
A0A8V8TNS7	A0A8V8TNS7	NLRP family	NLRP1
A0A8V8TNT0	A0A8V8TNT0	Not available	WHRN
A0A8V8TNT2	A0A8V8TNT2	Not available	OGT
A0A8V8TNT3	A0A8V8TNT3	Not available	DENND1A
A0A8V8TNT4	A0A8V8TNT4	Kindlin family	FERMT3
A0A8V8TNT6	A0A8V8TNT6	Not available	PGM3
A0A8V8TNT8	A0A8V8TNT8	Unc-13 family	UNC13D
A0A8V8TNT9	A0A8V8TNT9	Not available	FERMT3
A0A8V8TNU1	A0A8V8TNU1	Not available	SH3KBP1
A0A8V8TNU2	A0A8V8TNU2	WD repeat AIP1 family	WDR1
A0A8V8TNU4	A0A8V8TNU4	Not available	SPATA1
A0A8V8TNU5	A0A8V8TNU5	Not available	IL6ST
A0A8V8TNU6	A0A8V8TNU6	Not available	TINF2
A0A8V8TNU7	A0A8V8TNU7	Not available	NLRP1
A0A8V8TNU9	A0A8V8TNU9	Type I cytokine receptor family, Type 4 subfamily	IL2RB
A0A8V8TNV0	A0A8V8TNV0	Not available	IL6ST
A0A8V8TNV1	A0A8V8TNV1	Not available	NLRP1
A0A8V8TNV2	A0A8V8TNV2	NLRP family	NLRP1
A0A8V8TNV5	A0A8V8TNV5	Not available	DNAJC21
A0A8V8TNV6	A0A8V8TNV6	DNA mismatch repair MutL/HexB family	PMS2
A0A8V8TNV8	A0A8V8TNV8	NLRP family	NLRP1
A0A8V8TNW1	A0A8V8TNW1	Not available	PMS2
A0A8V8TNW4	A0A8V8TNW4	Not available	ZNF341
A0A8V8TNW7	A0A8V8TNW7	Not available	UNG
A0A8V8TNW8	A0A8V8TNW8	Not available	SH3KBP1
A0A8V8TNX1	A0A8V8TNX1	DNA mismatch repair MutL/HexB family	PMS2
A0A8V8TNX2	A0A8V8TNX2	Not available	OSTM1
A0A8V8TNX4	A0A8V8TNX4	Not available	DEF6
A0A8V8TNX7	A0A8V8TNX7	Not available	OSTM1
A0A8V8TNX8	A0A8V8TNX8	NBPF family	NBPF12
A0A8V8TNY0	A0A8V8TNY0	Argonaute family, Ago subfamily	AGO1
A0A8V8TNY3	A0A8V8TNY3	Constitutive coactivator of PPAR-gamma family	FAM120A
A0A8V8TNY6	A0A8V8TNY6	Not available	DZANK1
A0A8V8TNY7	A0A8V8TNY7	DNA polymerase delta/II small subunit family	POLD2
A0A8V8TNZ0	A0A8V8TNZ0	Small GTPase superfamily, Arf family	ARF1
A0A8V8TNZ7	A0A8V8TNZ7	Not available	DZANK1
A0A8V8TNZ8	A0A8V8TNZ8	DNA mismatch repair MutL/HexB family	PMS2
A0A8V8TP02	A0A8V8TP02	NLRP family	NLRP1
A0A8V8TP04	A0A8V8TP04	LAP (LRR and PDZ) protein family	ERBIN
A0A8V8TP05	A0A8V8TP05	Not available	NLRP1
A0A8V8TP07	A0A8V8TP07	NLRP family	NLRP1
A0A8V8TP10	A0A8V8TP10	Not available	LRRN4
A0A8V8TP12	A0A8V8TP12	Not available	NLRP1
A0A8V8TP14	A0A8V8TP14	Not available	NLRP1
A0A8V8TP15	A0A8V8TP15	Not available	ERBIN
A0A8V8TP19	A0A8V8TP19	Not available	TAPBP
A0A8V8TP22	A0A8V8TP22	WD repeat AIP1 family	WDR1
A0A8V8TP26	A0A8V8TP26	CYBC1 family	CYBC1
A0A8V8TP30	A0A8V8TP30	Not available	IRF9
A0A8V8TP31	A0A8V8TP31	WD repeat AIP1 family	WDR1
A0A8V8TP32	A0A8V8TP32	Not available	IL18BP
A0A8V8TP36	A0A8V8TP36	Not available	NLRP1
A0A8V8TP37	A0A8V8TP37	Not available	PCDH11Y
A0A8V8TP40	A0A8V8TP40	Not available	SH3KBP1
A0A8V8TP41	A0A8V8TP41	Kindlin family	FERMT3
A0A8V8TP42	A0A8V8TP42	Not available	NLRP1
A0A8V8TP43	A0A8V8TP43	Not available	IRF9
A0A8V8TP44	A0A8V8TP44	Not available	TINF2
A0A8V8TP46	A0A8V8TP46	Not available	FERMT3
A0A8V8TP48	A0A8V8TP48	NLRP family	NLRP1
A0A8V8TP54	A0A8V8TP54	Not available	HPS1
A0A8V8TP55	A0A8V8TP55	DNA mismatch repair MutL/HexB family	PMS2
A0A8V8TP57	A0A8V8TP57	Not available	IL2RB
A0A8V8TP59	A0A8V8TP59	Not available	HPS1
A0A8V8TP63	A0A8V8TP63	Not available	SH3KBP1
A0A8V8TP64	A0A8V8TP64	Not available	HPS1
A0A8V8TP66	A0A8V8TP66	DNA mismatch repair MutL/HexB family	PMS2
A0A8V8TP68	A0A8V8TP68	Not available	ANKS1A
A0A8V8TP69	A0A8V8TP69	Not available	SH3KBP1
A0A8V8TP71	A0A8V8TP71	Not available	HPS1
A0A8V8TP74	A0A8V8TP74	Not available	OGT
A0A8V8TP75	A0A8V8TP75	Not available	PHIP
A0A8V8TP77	A0A8V8TP77	PTEN phosphatase protein family	PTEN
A0A8V8TP78	A0A8V8TP78	Not available	STIM1
A0A8V8TP79	A0A8V8TP79	DNA mismatch repair MutL/HexB family	PMS2
A0A8V8TP80	A0A8V8TP80	PSMG2 family	PSMG2
A0A8V8TP83	A0A8V8TP83	Not available	IRF9
A0A8V8TP85	A0A8V8TP85	Not available	DBR1
A0A8V8TP87	A0A8V8TP87	Not available	NBAS
A0A8V8TP91	A0A8V8TP91	FCHO family	FCHO1
A0A8V8TP93	A0A8V8TP93	Not available	ARID2
A0A8V8TP94	A0A8V8TP94	Not available	NLRP1
A0A8V8TP95	A0A8V8TP95	Not available	SLC7A7
A0A8V8TP96	A0A8V8TP96	Not available	FCHO1
A0A8V8TP98	A0A8V8TP98	Not available	OGT
A0A8V8TP99	A0A8V8TP99	Small GTPase superfamily, Arf family	ARF1
A0A8V8TPA0	A0A8V8TPA0	FCHO family	FCHO1
A0A8V8TPA5	A0A8V8TPA5	Not available	LIG1
A0A8V8TPA9	A0A8V8TPA9	Not available	WDR1
A0A8V8TPB2	A0A8V8TPB2	Not available	CD247
A0A8V8TPB3	A0A8V8TPB3	Not available	HPS4
A0A8V8TPB4	A0A8V8TPB4	Not available	NLRP1
A0A8V8TPB5	A0A8V8TPB5	Not available	HPS4
A0A8V8TPB8	A0A8V8TPB8	Not available	PHIP
A0A8V8TPB9	A0A8V8TPB9	Not available	NLRP1
A0A8V8TPC1	A0A8V8TPC1	Not available	PLEKHM1
A0A8V8TPC4	A0A8V8TPC4	Not available	Not available
A0A8V8TPC5	A0A8V8TPC5	Not available	PLEKHM1
A0A8V8TPC6	A0A8V8TPC6	NLRP family	NLRP1
A0A8V8TPC9	A0A8V8TPC9	Not available	ZNF292
A0A8V8TPD0	A0A8V8TPD0	Not available	IRF5
A0A8V8TPD1	A0A8V8TPD1	DNA mismatch repair MutL/HexB family	PMS2
A0A8V8TPD2	A0A8V8TPD2	LAP (LRR and PDZ) protein family	ERBIN
A0A8V8TPD7	A0A8V8TPD7	Not available	IRF9
A0A8V8TPD8	A0A8V8TPD8	Not available	SEC61A1
A0A8V8TPE0	A0A8V8TPE0	Not available	CLCN7
A0A8V8TPE4	A0A8V8TPE4	DNA polymerase epsilon subunit B family	POLE2
A0A8V8TPE5	A0A8V8TPE5	Not available	MPO
A0A8V8TPE6	A0A8V8TPE6	Not available	TPRX2
A0A8V8TPE7	A0A8V8TPE7	DNA mismatch repair MutL/HexB family	PMS2
A0A8V8TPF0	A0A8V8TPF0	Not available	NFE2L2
A0A8V8TPF2	A0A8V8TPF2	Not available	AGO1
A0A8V8TPF8	A0A8V8TPF8	Not available	NR4A2
A0A8V8TPG1	A0A8V8TPG1	Not available	CAMK2B
A0A8V8TPG2	A0A8V8TPG2	Not available	FCN3
A0A8V8TPG3	A0A8V8TPG3	Not available	JAK1
A0A8V8TPG7	A0A8V8TPG7	Not available	NFIA
A0A8V8TPG8	A0A8V8TPG8	Not available	ADAM17
A0A8V8TPG9	A0A8V8TPG9	Not available	ARF1
A0A8V8TPH0	A0A8V8TPH0	Not available	PYROXD2
A0A8V8TPH2	A0A8V8TPH2	Not available	TYK2
A0A8V8TPH7	A0A8V8TPH7	Not available	TNFRSF4
A0A8V8TPI3	A0A8V8TPI3	Not available	RNF31
A0A8V8TPI5	A0A8V8TPI5	Not available	NFE2L2
A0A8V8TPI6	A0A8V8TPI6	Not available	HPS1
A0A8V8TPI7	A0A8V8TPI7	Not available	NAA15
A0A8V8TPI8	A0A8V8TPI8	Not available	GOLGA4
A0A8V8TPJ1	A0A8V8TPJ1	Not available	HPS1
A0A8V8TPJ2	A0A8V8TPJ2	Not available	ARHGAP4
A0A8V8TPJ3	A0A8V8TPJ3	Not available	TYK2
A0A8V8TPJ6	A0A8V8TPJ6	DNA mismatch repair MutL/HexB family	PMS2
A0A8V8TPK2	A0A8V8TPK2	DNA mismatch repair MutL/HexB family	PMS2
A0A8V8TPK4	A0A8V8TPK4	Not available	ANKMY1
A0A8V8TPK7	A0A8V8TPK7	Adaptor complexes small subunit family	AP1S3
A0A8V8TPK9	A0A8V8TPK9	PSMG2 family	PSMG2
A0A8V8TPL1	A0A8V8TPL1	Not available	FCGR3A
A0A8V8TPL2	A0A8V8TPL2	Not available	CFHR2
A0A8V8TPL3	A0A8V8TPL3	Not available	IRF9
A0A8V8TPL4	A0A8V8TPL4	Not available	TNFSF12
A0A8V8TPL6	A0A8V8TPL6	Not available	NFE2L2
A0A8V8TPL8	A0A8V8TPL8	Not available	NBAS
A0A8V8TPM1	A0A8V8TPM1	Not available	SH3KBP1
A0A8V8TPM3	A0A8V8TPM3	Not available	ICOSLG
A0A8V8TPM5	A0A8V8TPM5	Not available	AUTS2
A0A8V8TPM6	A0A8V8TPM6	Not available	MEIS2
A0A8V8TPM7	A0A8V8TPM7	Not available	FCHO1
A0A8V8TPM9	A0A8V8TPM9	Not available	UBE2T
A0A8V8TPN1	A0A8V8TPN1	FCHO family	FCHO1
A0A8V8TPN4	A0A8V8TPN4	Unc-13 family	UNC13D
A0A8V8TPN5	A0A8V8TPN5	Not available	NFE2L2
A0A8V8TPN7	A0A8V8TPN7	Not available	CAMTA1
A0A8V8TPN8	A0A8V8TPN8	Not available	GOLGA8A
A0A8V8TPP0	A0A8V8TPP0	Not available	Not available
A0A8V8TPP5	A0A8V8TPP5	Not available	HPS4
A0A8V8TPP8	A0A8V8TPP8	Not available	UNC13D
A0A8V8TPP9	A0A8V8TPP9	Not available	HPS4
A0A8V8TPQ0	A0A8V8TPQ0	Not available	CD247
A0A8V8TPQ2	A0A8V8TPQ2	Not available	CAMTA1
A0A8V8TPQ3	A0A8V8TPQ3	Not available	SPATA1
A0A8V8TPQ7	A0A8V8TPQ7	Not available	CAMTA1
A0A8V8TPR1	A0A8V8TPR1	Not available	TIRAP
A0A8V8TPR2	A0A8V8TPR2	Not available	MSH6
A0A8V8TPR6	A0A8V8TPR6	Not available	KMT5B
A0A8V8TPR8	A0A8V8TPR8	Not available	NCSTN
A0A8V8TPS2	A0A8V8TPS2	Not available	TNFSF12
A0A8V8TPS3	A0A8V8TPS3	Not available	CD247
A0A8V8TPS4	A0A8V8TPS4	Not available	FCGR2A
A0A8V8TPS5	A0A8V8TPS5	Not available	NUP88
A0A8V8TPS6	A0A8V8TPS6	Not available	NBAS
A0A8V8TPS7	A0A8V8TPS7	Uracil-DNA glycosylase (UDG) superfamily, UNG family	UNG
A0A8V8TPS8	A0A8V8TPS8	Not available	APBA1
A0A8V8TPT1	A0A8V8TPT1	Not available	NBAS
A0A8V8TPT2	A0A8V8TPT2	Not available	OSTM1
A0A8V8TPT5	A0A8V8TPT5	Not available	CD247
A0A8V8TPT7	A0A8V8TPT7	Not available	OSTM1
A0A8V8TPT8	A0A8V8TPT8	Not available	NFE2L2
A0A8V8TPT9	A0A8V8TPT9	Not available	CHD2
A0A8V8TPU4	A0A8V8TPU4	Not available	BNC2
A0A8V8TPU5	A0A8V8TPU5	Not available	CASP3
A0A8V8TPU6	A0A8V8TPU6	Not available	CACNA1E
A0A8V8TPU7	A0A8V8TPU7	Not available	DZANK1
A0A8V8TPV3	A0A8V8TPV3	Nuclear hormone receptor family, NR2 subfamily	NR2F1
A0A8V8TPV4	A0A8V8TPV4	JAKMIP family	JAKMIP1
A0A8V8TPV8	A0A8V8TPV8	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	MAP3K7
A0A8V8TPV9	A0A8V8TPV9	Not available	NR4A2
A0A8V8TPW1	A0A8V8TPW1	Not available	Not available
A0A8V8TPW2	A0A8V8TPW2	NLRP family	NLRP1
A0A8V8TPW4	A0A8V8TPW4	Not available	PLEKHM1
A0A8V8TPW5	A0A8V8TPW5	Not available	Not available
A0A8V8TPX0	A0A8V8TPX0	Not available	NFE2L2
A0A8V8TPX2	A0A8V8TPX2	Not available	CAMK2B
A0A8V8TPX3	A0A8V8TPX3	Not available	CD247
A0A8V8TPX5	A0A8V8TPX5	Not available	TYK2
A0A8V8TPX6	A0A8V8TPX6	Not available	CR2
A0A8V8TPX7	A0A8V8TPX7	Not available	CD247
A0A8V8TPX9	A0A8V8TPX9	Not available	CAMK2B
A0A8V8TPY2	A0A8V8TPY2	Iodothyronine deiodinase family	DIO3
A0A8V8TPZ3	A0A8V8TPZ3	Adaptor complexes small subunit family	AP1S3
A0A8V8TQ00	A0A8V8TQ00	Not available	NAA15
A0A8V8TQ03	A0A8V8TQ03	Not available	FCGR3A
A0A8V8TQ04	A0A8V8TQ04	Not available	OS9
A0A8V8TQ05	A0A8V8TQ05	Not available	CAMK2B
A0A8V8TQ07	A0A8V8TQ07	Not available	TINF2
A0A8V8TQ09	A0A8V8TQ09	Not available	PLEKHA5
A0A8V8TQ10	A0A8V8TQ10	Not available	CAMK2D
A0A8V8TQ11	A0A8V8TQ11	Not available	NLRP1
A0A8V8TQ13	A0A8V8TQ13	Not available	CAMK2B
A0A8V8TQ16	A0A8V8TQ16	Mitochondrial carrier (TC 2.A.29) family	SLC25A28
A0A8V8TQ17	A0A8V8TQ17	NLRP family	NLRP1
A0A8V8TQ20	A0A8V8TQ20	Not available	NFE2L2
A0A8V8TQ26	A0A8V8TQ26	Not available	CFHR1
A0A8V8TQ28	A0A8V8TQ28	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	MAP3K7
A0A8V8TQ30	A0A8V8TQ30	Not available	PSEN1
A0A8V8TQ31	A0A8V8TQ31	Not available	WHRN
A0A8V8TQ34	A0A8V8TQ34	Not available	NAA15
A0A8V8TQ38	A0A8V8TQ38	COG4 family	COG4
A0A8V8TQ40	A0A8V8TQ40	Unc-13 family	UNC13D
A0A8V8TQ41	A0A8V8TQ41	DNA mismatch repair MutL/HexB family	PMS2
A0A8V8TQ43	A0A8V8TQ43	Not available	NDFIP2
A0A8V8TQ46	A0A8V8TQ46	Not available	SPATA1
A0A8V8TQ55	A0A8V8TQ55	Not available	NLRP1
A0A8V8TQ57	A0A8V8TQ57	Not available	NDFIP2
A0A8V8TQ58	A0A8V8TQ58	Not available	PSEN1
A0A8V8TQ59	A0A8V8TQ59	Not available	ALG13
A0A8V8TQ61	A0A8V8TQ61	Not available	NCSTN
A0A8V8TQ62	A0A8V8TQ62	Not available	NDFIP2
A0A8V8TQ69	A0A8V8TQ69	WD repeat AIP1 family	WDR1
A0A8V8TQ70	A0A8V8TQ70	Uracil-DNA glycosylase (UDG) superfamily, UNG family	UNG
A0A8V8TQ72	A0A8V8TQ72	Not available	ARHGEF7
A0A8V8TQ74	A0A8V8TQ74	WD repeat AIP1 family	WDR1
A0A8V8TQ75	A0A8V8TQ75	Not available	OSTM1
A0A8V8TQ77	A0A8V8TQ77	Not available	CAMK2G
